username,platform,engagement_signal,intent_tier,intent_signal,source,competitor_brand,followers
marinaanellie,Instagram,1,1-High,comment,ig-comment,,
la.rubia.canela,Instagram,1,1-High,comment,ig-comment,,
pawel_strelzow,Instagram,1,1-High,comment,ig-comment,,
jopichhedy,Instagram,1,1-High,comment,ig-comment,,
ludwiiiig_henck,Instagram,1,1-High,comment,ig-comment,,
ronja5ivoigt,Instagram,1,1-High,comment,ig-comment,,
caaaaspar80,Instagram,1,1-High,comment,ig-comment,,
_monapalmer,Instagram,1,1-High,comment,ig-comment,,
irene__kranzrn,Instagram,1,1-High,comment,ig-comment,,
sarahhhedmar,Instagram,1,1-High,comment,ig-comment,,
_aldridge_anthony,Instagram,1,1-High,comment,ig-comment,,
kirby_.chanelle,Instagram,1,1-High,comment,ig-comment,,
7voidfemme7,Instagram,1,1-High,comment,ig-comment,,
kikaornelas,Instagram,1,1-High,comment,ig-comment,,
llllliei,Instagram,1,1-High,comment,ig-comment,,
thirdeye_ni,Instagram,1,1-High,comment,ig-comment,,
r.lageen05,Instagram,1,1-High,comment,ig-comment,,
aquaboogiebabe,Instagram,1,1-High,comment,ig-comment,,
janacleveland9,Instagram,1,1-High,comment,ig-comment,,
sloppy_goblin_girl,Instagram,1,1-High,comment,ig-comment,,
thewitchcirclewithmayzara_,Instagram,1,1-High,comment,ig-comment,,
pattitru,Instagram,1,1-High,comment,ig-comment,,
vampmara__,Instagram,1,1-High,comment,ig-comment,,
guendybabythis,Instagram,1,1-High,comment,ig-comment,,
poppiseedmarket,Instagram,1,1-High,comment,ig-comment,,
staceygentry1,Instagram,1,1-High,comment,ig-comment,,
ianmkimbrough,Instagram,1,1-High,comment,ig-comment,,
cimbo1989,Instagram,1,1-High,comment,ig-comment,,
gabe.crow.58,Instagram,1,1-High,comment,ig-comment,,
andrey.boukhantsov,Instagram,1,1-High,comment,ig-comment,,
sushyglowcosmetics,Instagram,1,1-High,comment,ig-comment,,
geeelloooow,Instagram,1,1-High,comment,ig-comment,,
caityjuju,Instagram,1,1-High,comment,ig-comment,,
jimothy_gilgamesh,Instagram,1,1-High,comment,ig-comment,,
maryehanlon,Instagram,1,1-High,comment,ig-comment,,
foresttgall,Instagram,1,1-High,comment,ig-comment,,
instajoe543,Instagram,1,1-High,comment,ig-comment,,
babe1oh3,Instagram,1,1-High,comment,ig-comment,,
jamesb.u.d,Instagram,1,1-High,comment,ig-comment,,
whirlybirdrec,Instagram,1,1-High,comment,ig-comment,,
b_michaelis_,Instagram,1,1-High,comment,ig-comment,,
maxwellhousefarms,Instagram,1,1-High,comment,ig-comment,,
pamelamadiganart,Instagram,1,1-High,comment,ig-comment,,
jellycowgirl,Instagram,1,1-High,comment,ig-comment,,
the.piney.apple,Instagram,1,1-High,comment,ig-comment,,
caitruby,Instagram,1,1-High,comment,ig-comment,,
_wafflesandpussay,Instagram,1,1-High,comment,ig-comment,,
batty_vazquez,Instagram,1,1-High,comment,ig-comment,,
inbeautyescape,Instagram,1,1-High,comment,ig-comment,,
dominika_wezowicz,Instagram,1,1-High,comment,ig-comment,,
superfluidskin,Instagram,1,1-High,comment,ig-comment,,
catporter.writer,Instagram,1,1-High,comment,ig-comment,,
marta_piotrowska_kowalczyk,Instagram,1,1-High,comment,ig-comment,,
claudiaonelly,Instagram,1,1-High,comment,ig-comment,,
kendracalvert,Instagram,1,1-High,comment,ig-comment,,
knifep4rty_,Instagram,1,1-High,comment,ig-comment,,
choupfil,Instagram,1,1-High,comment,ig-comment,,
