username,platform,engagement_signal,intent_tier,intent_signal,source,competitor_brand,followers
pagal_aatu,Instagram,1,1-High,comment,ig-comment,,
kaminaladka______,Instagram,1,1-High,comment,ig-comment,,
harwhit_01,Instagram,1,1-High,comment,ig-comment,,
chndu___sahu,Instagram,1,1-High,comment,ig-comment,,
maheshpal4352,Instagram,1,1-High,comment,ig-comment,,
kingof90888,Instagram,1,1-High,comment,ig-comment,,
rajput566535,Instagram,1,1-High,comment,ig-comment,,
thehalloweenhun,Instagram,1,1-High,comment,ig-comment,,
biogirl1381,Instagram,1,1-High,comment,ig-comment,,
reddoll06,Instagram,1,1-High,comment,ig-comment,,
lavivavivian,Instagram,1,1-High,comment,ig-comment,,
thegr8ambino1138,Instagram,1,1-High,comment,ig-comment,,
imperfectscapestudio,Instagram,1,1-High,comment,ig-comment,,
parassihag5,Instagram,1,1-High,comment,ig-comment,,
aboodalowimer,Instagram,1,1-High,comment,ig-comment,,
nevilleroaneking,Instagram,1,1-High,comment,ig-comment,,
dzialoo,Instagram,1,1-High,comment,ig-comment,,
mymanabites,Instagram,1,1-High,comment,ig-comment,,
eleesealarm,Instagram,1,1-High,comment,ig-comment,,
billiondollarblock,Instagram,1,1-High,comment,ig-comment,,
listo.cheap.heats925,Instagram,1,1-High,comment,ig-comment,,
thetcgmuseum,Instagram,1,1-High,comment,ig-comment,,
pullcollector,Instagram,1,1-High,comment,ig-comment,,
_professor_f,Instagram,1,1-High,comment,ig-comment,,
_chaoticcreations,Instagram,1,1-High,comment,ig-comment,,
p0minik,Instagram,1,1-High,comment,ig-comment,,
lucaornago,Instagram,1,1-High,comment,ig-comment,,
na_v_,Instagram,1,1-High,comment,ig-comment,,
maxmaxcity,Instagram,1,1-High,comment,ig-comment,,
steezyspinss,Instagram,1,1-High,comment,ig-comment,,
madamebets_,Instagram,1,1-High,comment,ig-comment,,
rif.hatta,Instagram,1,1-High,comment,ig-comment,,
specsof81,Instagram,1,1-High,comment,ig-comment,,
captainpaparon,Instagram,1,1-High,comment,ig-comment,,
eddielikesnature,Instagram,1,1-High,comment,ig-comment,,
tennis_god__,Instagram,1,1-High,comment,ig-comment,,
unslnced_productions,Instagram,1,1-High,comment,ig-comment,,
angel_d_amadeus_,Instagram,1,1-High,comment,ig-comment,,
geoff_._,Instagram,1,1-High,comment,ig-comment,,
christophcam_,Instagram,1,1-High,comment,ig-comment,,
eman.httpss,Instagram,1,1-High,comment,ig-comment,,
meldaplaya,Instagram,1,1-High,comment,ig-comment,,
tony_91331,Instagram,1,1-High,comment,ig-comment,,
melo_859,Instagram,1,1-High,comment,ig-comment,,
xodreamygal,Instagram,1,1-High,comment,ig-comment,,
sheen621,Instagram,1,1-High,comment,ig-comment,,
natetgobaker,Instagram,1,1-High,comment,ig-comment,,
29o4._,Instagram,1,1-High,comment,ig-comment,,
ohio__sky,Instagram,1,1-High,comment,ig-comment,,
wavyraw,Instagram,1,1-High,comment,ig-comment,,
flal.alala,Instagram,1,1-High,comment,ig-comment,,
wthomas80,Instagram,1,1-High,comment,ig-comment,,
601colkjay,Instagram,1,1-High,comment,ig-comment,,
_tensaa._,Instagram,1,1-High,comment,ig-comment,,
ariqueenofhearts,Instagram,1,1-High,comment,ig-comment,,
blackathrifter,Instagram,1,1-High,comment,ig-comment,,
cordonez110,Instagram,1,1-High,comment,ig-comment,,
xtrava_ganja,Instagram,1,1-High,comment,ig-comment,,
norm.builds,Instagram,1,1-High,comment,ig-comment,,
thederekcheung,Instagram,1,1-High,comment,ig-comment,,
gabehoffmann,Instagram,1,1-High,comment,ig-comment,,
dealmakingg,Instagram,1,1-High,comment,ig-comment,,
johngiof_builds,Instagram,1,1-High,comment,ig-comment,,
whoisjustinxy,Instagram,1,1-High,comment,ig-comment,,
0ptimus_prime33,Instagram,1,1-High,comment,ig-comment,,
hittaak2,Instagram,1,1-High,comment,ig-comment,,
oglumbersnacc,Instagram,1,1-High,comment,ig-comment,,
migeru999,Instagram,1,1-High,comment,ig-comment,,
chefpocalyptic,Instagram,1,1-High,comment,ig-comment,,
mx.jordy,Instagram,1,1-High,comment,ig-comment,,
forged_1n_chaos,Instagram,1,1-High,comment,ig-comment,,
bakeddbrie,Instagram,1,1-High,comment,ig-comment,,
cbjb_interwebs,Instagram,1,1-High,comment,ig-comment,,
triplestackgod,Instagram,1,1-High,comment,ig-comment,,
jfpryor,Instagram,1,1-High,comment,ig-comment,,
freaktique,Instagram,1,1-High,comment,ig-comment,,
ohiophotobro,Instagram,1,1-High,comment,ig-comment,,
jennammorgan84,Instagram,1,1-High,comment,ig-comment,,
qualifiedjoyandtired,Instagram,1,1-High,comment,ig-comment,,
kate_cant_stand_you,Instagram,1,1-High,comment,ig-comment,,
its_royal_king9216,Instagram,1,1-High,comment,ig-comment,,
siko3death,Instagram,1,1-High,comment,ig-comment,,
sean_manucho,Instagram,1,1-High,comment,ig-comment,,
poharmatt,Instagram,1,1-High,comment,ig-comment,,
lost_soul0730ddu,Instagram,1,1-High,comment,ig-comment,,
ad_real92,Instagram,1,1-High,comment,ig-comment,,
iamdacoot,Instagram,1,1-High,comment,ig-comment,,
crucks9,Instagram,1,1-High,comment,ig-comment,,
_dowling,Instagram,1,1-High,comment,ig-comment,,
nolan_reynolds6,Instagram,1,1-High,comment,ig-comment,,
daddysatan9_9_9,Instagram,1,1-High,comment,ig-comment,,
bipxpi,Instagram,1,1-High,comment,ig-comment,,
kara_cham1234,Instagram,1,1-High,comment,ig-comment,,
user09883751655,Instagram,1,1-High,comment,ig-comment,,
barrywitah,Instagram,1,1-High,comment,ig-comment,,
mass.cd,Instagram,1,1-High,comment,ig-comment,,
theangelofdeath666,Instagram,1,1-High,comment,ig-comment,,
zombieboiii666,Instagram,1,1-High,comment,ig-comment,,
man6358843,Instagram,1,1-High,comment,ig-comment,,
mark.xd_,Instagram,1,1-High,comment,ig-comment,,
vidoni.gif,Instagram,1,1-High,comment,ig-comment,,
omni_daran,Instagram,1,1-High,comment,ig-comment,,
cnando84,Instagram,1,1-High,comment,ig-comment,,
donovan_mack_jo,Instagram,1,1-High,comment,ig-comment,,
sunburnd_604,Instagram,1,1-High,comment,ig-comment,,
mult1_ju1c3,Instagram,1,1-High,comment,ig-comment,,
brockniksich,Instagram,1,1-High,comment,ig-comment,,
_turtle_8_,Instagram,1,1-High,comment,ig-comment,,
_.de_viant._666,Instagram,1,1-High,comment,ig-comment,,
abarz_irl,Instagram,1,1-High,comment,ig-comment,,
persimmonthread,Instagram,1,1-High,comment,ig-comment,,
_aris.tzevelekos_,Instagram,1,1-High,comment,ig-comment,,
painoandrew,Instagram,1,1-High,comment,ig-comment,,
derrekmsmith,Instagram,1,1-High,comment,ig-comment,,
shakenblake0,Instagram,1,1-High,comment,ig-comment,,
thewhistleblowerid,Instagram,1,1-High,comment,ig-comment,,
matteoc_11,Instagram,1,1-High,comment,ig-comment,,
c.boogz,Instagram,1,1-High,comment,ig-comment,,
itz_quiet_cpm,Instagram,1,1-High,comment,ig-comment,,
sean.mcdonald.3150,Instagram,1,1-High,comment,ig-comment,,
_slvont_,Instagram,1,1-High,comment,ig-comment,,
gabrielskyelifts,Instagram,1,1-High,comment,ig-comment,,
samuelrschaffer,Instagram,1,1-High,comment,ig-comment,,
andrew._.frankenstein,Instagram,1,1-High,comment,ig-comment,,
fr3ddieo,Instagram,1,1-High,comment,ig-comment,,
itsjustjj,Instagram,1,1-High,comment,ig-comment,,
georgejsharp,Instagram,1,1-High,comment,ig-comment,,
bdiz_sd,Instagram,1,1-High,comment,ig-comment,,
dutchjavaxi,Instagram,1,1-High,comment,ig-comment,,
ennissthemenace,Instagram,1,1-High,comment,ig-comment,,
cgrays12,Instagram,1,1-High,comment,ig-comment,,
expired_corona,Instagram,1,1-High,comment,ig-comment,,
jmorsithlord,Instagram,1,1-High,comment,ig-comment,,
cardozo_gonzalez,Instagram,1,1-High,comment,ig-comment,,
work_appropriate,Instagram,1,1-High,comment,ig-comment,,
chrisopereira,Instagram,1,1-High,comment,ig-comment,,
iamnawabi,Instagram,1,1-High,comment,ig-comment,,
das.a.nice.breeze,Instagram,1,1-High,comment,ig-comment,,
emmit1010,Instagram,1,1-High,comment,ig-comment,,
badashgangsta,Instagram,1,1-High,comment,ig-comment,,
ellie_pete,Instagram,1,1-High,comment,ig-comment,,
bevinsparty,Instagram,1,1-High,comment,ig-comment,,
roaming.pines,Instagram,1,1-High,comment,ig-comment,,
yegsheens,Instagram,1,1-High,comment,ig-comment,,
taotam_official,Instagram,1,1-High,comment,ig-comment,,
blakethaprince,Instagram,1,1-High,comment,ig-comment,,
pumpedupanthony,Instagram,1,1-High,comment,ig-comment,,
kungfutea_30,Instagram,1,1-High,comment,ig-comment,,
koala.70848063,Instagram,1,1-High,comment,ig-comment,,
cocoabutterdiary,Instagram,1,1-High,comment,ig-comment,,
michael.minderlein,Instagram,1,1-High,comment,ig-comment,,
lord_leif_the_first,Instagram,1,1-High,comment,ig-comment,,
connorsshadow_,Instagram,1,1-High,comment,ig-comment,,
socal_gael,Instagram,1,1-High,comment,ig-comment,,
lemaster1117,Instagram,1,1-High,comment,ig-comment,,
vicious_game13,Instagram,1,1-High,comment,ig-comment,,
mj5747_,Instagram,1,1-High,comment,ig-comment,,
automotiveskeylocksmith,Instagram,1,1-High,comment,ig-comment,,
if_not_msiri_then_who,Instagram,1,1-High,comment,ig-comment,,
uso_hawaii,Instagram,1,1-High,comment,ig-comment,,
nimatheejoker,Instagram,1,1-High,comment,ig-comment,,
eren_elyeagerist,Instagram,1,1-High,comment,ig-comment,,
maximumcarnage01,Instagram,1,1-High,comment,ig-comment,,
jacksonsims372,Instagram,1,1-High,comment,ig-comment,,
brav02k,Instagram,1,1-High,comment,ig-comment,,
southxposure,Instagram,1,1-High,comment,ig-comment,,
c_its_boosted,Instagram,1,1-High,comment,ig-comment,,
somerandomfella77,Instagram,1,1-High,comment,ig-comment,,
viticomejia,Instagram,1,1-High,comment,ig-comment,,
yangkerino,Instagram,1,1-High,comment,ig-comment,,
ilmusone_,Instagram,1,1-High,comment,ig-comment,,
santiago.wav_,Instagram,1,1-High,comment,ig-comment,,
missanyamaria,Instagram,1,1-High,comment,ig-comment,,
annatayofficial,Instagram,1,1-High,comment,ig-comment,,
felsmere,Instagram,1,1-High,comment,ig-comment,,
ariel.bell,Instagram,1,1-High,comment,ig-comment,,
haleyvideckis,Instagram,1,1-High,comment,ig-comment,,
giovanni_gio_fit,Instagram,1,1-High,comment,ig-comment,,
tarynnslater,Instagram,1,1-High,comment,ig-comment,,
hantaylorl,Instagram,1,1-High,comment,ig-comment,,
officialvictoriabarbara,Instagram,1,1-High,comment,ig-comment,,
mimi_tamer,Instagram,1,1-High,comment,ig-comment,,
metisha,Instagram,1,1-High,comment,ig-comment,,
sephoramn,Instagram,1,1-High,comment,ig-comment,,
olya_rubanova,Instagram,1,1-High,comment,ig-comment,,
mariatrima,Instagram,1,1-High,comment,ig-comment,,
yoel65582,Instagram,1,1-High,comment,ig-comment,,
berserker_sdmf_,Instagram,1,1-High,comment,ig-comment,,
attiliofornacciari,Instagram,1,1-High,comment,ig-comment,,
foulonalexis,Instagram,1,1-High,comment,ig-comment,,
ranjeetkumar7171,Instagram,1,1-High,comment,ig-comment,,
liliane.simonettast,Instagram,1,1-High,comment,ig-comment,,
izik123401,Instagram,1,1-High,comment,ig-comment,,
mario.siciliano1962,Instagram,1,1-High,comment,ig-comment,,
erick_is_awesome_14,Instagram,1,1-High,comment,ig-comment,,
rz_n_a3s,Instagram,1,1-High,comment,ig-comment,,
peyman1973_52,Instagram,1,1-High,comment,ig-comment,,
ted409,Instagram,1,1-High,comment,ig-comment,,
hallwanders,Instagram,1,1-High,comment,ig-comment,,
aireveryneeds,Instagram,1,1-High,comment,ig-comment,,
ciscobr,Instagram,1,1-High,comment,ig-comment,,
a_g_tony35,Instagram,1,1-High,comment,ig-comment,,
emad.mahdavifar,Instagram,1,1-High,comment,ig-comment,,
adam_new87,Instagram,1,1-High,comment,ig-comment,,
hollybarkerofficial,Instagram,1,1-High,comment,ig-comment,,
daphnila,Instagram,1,1-High,comment,ig-comment,,
ariana,Instagram,1,1-High,comment,ig-comment,,
anna.officcial,Instagram,1,1-High,comment,ig-comment,,
aroaceasinger,Instagram,1,1-High,comment,ig-comment,,
jamesartissen,Instagram,1,1-High,comment,ig-comment,,
robbijan,Instagram,1,1-High,comment,ig-comment,,
hollyhawkinssmith,Instagram,1,1-High,comment,ig-comment,,
lenamauteofficial,Instagram,1,1-High,comment,ig-comment,,
kamiliahilal,Instagram,1,1-High,comment,ig-comment,,
rimmeri,Instagram,1,1-High,comment,ig-comment,,
mina_mendes,Instagram,1,1-High,comment,ig-comment,,
anastasiiarott,Instagram,1,1-High,comment,ig-comment,,
anisa_mukaj,Instagram,1,1-High,comment,ig-comment,,
andres.bmg,Instagram,1,1-High,comment,ig-comment,,
onmarii099,Instagram,1,1-High,comment,ig-comment,,
stephendewayne88,Instagram,1,1-High,comment,ig-comment,,
tonythatflyguy,Instagram,1,1-High,comment,ig-comment,,
godmonarchemperor,Instagram,1,1-High,comment,ig-comment,,
davey.vnss,Instagram,1,1-High,comment,ig-comment,,
declankates,Instagram,1,1-High,comment,ig-comment,,
clifton.hebert,Instagram,1,1-High,comment,ig-comment,,
sages_stone,Instagram,1,1-High,comment,ig-comment,,
xci.ev,Instagram,1,1-High,comment,ig-comment,,
daniel_dano235679,Instagram,1,1-High,comment,ig-comment,,
andre.castro24,Instagram,1,1-High,comment,ig-comment,,
aye_moose,Instagram,1,1-High,comment,ig-comment,,
jtre96,Instagram,1,1-High,comment,ig-comment,,
tobymparker653,Instagram,1,1-High,comment,ig-comment,,
the.family.mascot,Instagram,1,1-High,comment,ig-comment,,
crimzon.si,Instagram,1,1-High,comment,ig-comment,,
1k.greg_,Instagram,1,1-High,comment,ig-comment,,
newell911,Instagram,1,1-High,comment,ig-comment,,
emragram,Instagram,1,1-High,comment,ig-comment,,
isaihsalas,Instagram,1,1-High,comment,ig-comment,,
chefwolf84,Instagram,1,1-High,comment,ig-comment,,
puggur666,Instagram,1,1-High,comment,ig-comment,,
mt_joe7,Instagram,1,1-High,comment,ig-comment,,
paulkaralias,Instagram,1,1-High,comment,ig-comment,,
vb.brock,Instagram,1,1-High,comment,ig-comment,,
_._.trident._._,Instagram,1,1-High,comment,ig-comment,,
hal.roach.1.0,Instagram,1,1-High,comment,ig-comment,,
the_real_jcal,Instagram,1,1-High,comment,ig-comment,,
marzjass,Instagram,1,1-High,comment,ig-comment,,
rizasalahudin,Instagram,1,1-High,comment,ig-comment,,
sanaakofficial,Instagram,1,1-High,comment,ig-comment,,
the_soufiya,Instagram,1,1-High,comment,ig-comment,,
tocestyle,Instagram,1,1-High,comment,ig-comment,,
laurafeerraro,Instagram,1,1-High,comment,ig-comment,,
pierre_abena,Instagram,1,1-High,comment,ig-comment,,
serr472aiw,Instagram,1,1-High,comment,ig-comment,,
melvinbenton1979,Instagram,1,1-High,comment,ig-comment,,
adelarantonioagliardi,Instagram,1,1-High,comment,ig-comment,,
surelynotsierra,X,1,1-High,engagement,x-audience,packdraw,179683
RawDogg209,X,1,1-High,engagement,x-audience,packdraw,79286
KuangTV,X,1,1-High,engagement,x-audience,packdraw,48939
ifwraviel,X,1,1-High,engagement,x-audience,packdraw,37236
ScrapyCoCoTV,X,1,1-High,engagement,x-audience,packdraw,21549
tweetthis101,X,1,1-High,engagement,x-audience,packdraw,16326
PT003__,X,1,1-High,engagement,x-audience,packdraw,12137
EClock24,X,1,1-High,engagement,x-audience,packdraw,10971
chigawrld,X,1,1-High,engagement,x-audience,packdraw,8813
KweenABC123,X,1,1-High,engagement,x-audience,packdraw,5875
FEYOWEB,X,1,1-High,engagement,x-audience,packdraw,5811
dapt_official,X,1,1-High,engagement,x-audience,packdraw,5539
xIamTheReaper,X,1,1-High,engagement,x-audience,packdraw,4473
RealStellbets,X,1,1-High,engagement,x-audience,packdraw,4453
DougRewards,X,1,1-High,engagement,x-audience,packdraw,3770
Hayzed_sol,X,1,1-High,engagement,x-audience,packdraw,3491
DustinTFP,X,1,1-High,engagement,x-audience,packdraw,3456
morgansol34,X,1,1-High,engagement,x-audience,packdraw,2732
hanssel780,X,1,1-High,engagement,x-audience,packdraw,2043
FruitsaladYT,X,1,1-High,engagement,x-audience,packdraw,2017
brandogamba,X,1,1-High,engagement,x-audience,packdraw,2016
shinhs05,X,1,1-High,engagement,x-audience,packdraw,1994
vexobets,X,1,1-High,engagement,x-audience,packdraw,1807
DustintfpVIP,X,1,1-High,engagement,x-audience,packdraw,1452
Ceroy18,X,1,1-High,engagement,x-audience,packdraw,906
ikeegz_,X,1,1-High,engagement,x-audience,packdraw,855
luci4erG,X,1,1-High,engagement,x-audience,packdraw,552
yossi_eth,X,1,1-High,engagement,x-audience,packdraw,458
himyis_,X,1,1-High,engagement,x-audience,packdraw,442
artemiscityx,X,1,1-High,engagement,x-audience,packdraw,368
AsTonishRx,X,1,1-High,engagement,x-audience,packdraw,310
evan_papa18,X,1,1-High,engagement,x-audience,packdraw,296
dibwkan,X,1,1-High,engagement,x-audience,packdraw,235
Dvdwlso,X,1,1-High,engagement,x-audience,packdraw,184
LottoPicks333,X,1,1-High,engagement,x-audience,packdraw,155
safcblackcat13,X,1,1-High,engagement,x-audience,packdraw,149
Danydubic,X,1,1-High,engagement,x-audience,packdraw,133
es_suraj01,X,1,1-High,engagement,x-audience,packdraw,102
4x_solo,X,1,1-High,engagement,x-audience,packdraw,60
efh_j4uli,X,1,1-High,engagement,x-audience,packdraw,51
MutaIntern,X,1,1-High,engagement,x-audience,packdraw,31
Lushiesty814,X,1,1-High,engagement,x-audience,packdraw,10
MainGame6,X,1,1-High,engagement,x-audience,packdraw,22538
yungreal69,X,1,1-High,engagement,x-audience,packdraw,13590
Smackdowness,X,1,1-High,engagement,x-audience,packdraw,35255
patttdotcom,X,1,1-High,engagement,x-audience,packdraw,22486
ZiGmReal,X,1,1-High,engagement,x-audience,packdraw,13300
BasepokerHQ,X,1,1-High,engagement,x-audience,packdraw,11765
journeyofchandu,X,1,1-High,engagement,x-audience,packdraw,9670
littleshoes08,X,1,1-High,engagement,x-audience,packdraw,8047
ramyavellanki_,X,1,1-High,engagement,x-audience,packdraw,6552
defynrae,X,1,1-High,engagement,x-audience,packdraw,6355
jegax_,X,1,1-High,engagement,x-audience,packdraw,6352
itsjuliusolson,X,1,1-High,engagement,x-audience,packdraw,5782
StrawHat068,X,1,1-High,engagement,x-audience,packdraw,1444
angie__mantis,X,1,1-High,engagement,x-audience,packdraw,1355
RuinersKick,X,1,1-High,engagement,x-audience,packdraw,1342
CodeXBT_Intern,X,1,1-High,engagement,x-audience,packdraw,878
gong_a93693,X,1,1-High,engagement,x-audience,packdraw,390
Tbeeezy11,X,1,1-High,engagement,x-audience,packdraw,323
ShennCS,X,1,1-High,engagement,x-audience,packdraw,132
hy_drox_,X,1,1-High,engagement,x-audience,packdraw,4702
SouthnPurpleVeg,X,1,1-High,engagement,x-audience,packdraw,4611
0xGKz,X,1,1-High,engagement,x-audience,packdraw,4365
hongmingoh,X,1,1-High,engagement,x-audience,packdraw,4091
Blackkky,X,1,1-High,engagement,x-audience,packdraw,3911
MikeEze18,X,1,1-High,engagement,x-audience,packdraw,3628
777Zmann,X,1,1-High,engagement,x-audience,packdraw,3542
Itsmeowluck,X,1,1-High,engagement,x-audience,packdraw,3339
SlotAngelina,X,1,1-High,engagement,x-audience,packdraw,3337
The_RealYoungG,X,1,1-High,engagement,x-audience,packdraw,3200
JstNil,X,1,1-High,engagement,x-audience,packdraw,3161
Dcalibless11X,X,1,1-High,engagement,x-audience,packdraw,3091
NayaOnChain,X,1,1-High,engagement,x-audience,packdraw,3082
cryptopipoy,X,1,1-High,engagement,x-audience,packdraw,2906
limedjeruk8,X,1,1-High,engagement,x-audience,packdraw,2801
mickaelanic,X,1,1-High,engagement,x-audience,packdraw,2761
nelanontwtt,X,1,1-High,engagement,x-audience,packdraw,2734
Wonda0xwins,X,1,1-High,engagement,x-audience,packdraw,2685
siege4tw,X,1,1-High,engagement,x-audience,packdraw,2651
elianzcrush,X,1,1-High,engagement,x-audience,packdraw,2630
nerxbt,X,1,1-High,engagement,x-audience,packdraw,2454
rbngambles,X,1,1-High,engagement,x-audience,packdraw,2337
vaga30nd_,X,1,1-High,engagement,x-audience,packdraw,2255
KoyaFiyinfoluwa,X,1,1-High,engagement,x-audience,packdraw,2231
asamoah_09,X,1,1-High,engagement,x-audience,packdraw,2167
SaraahhXi,X,1,1-High,engagement,x-audience,packdraw,2155
Tobilobalucky,X,1,1-High,engagement,x-audience,packdraw,2150
TheMatBets,X,1,1-High,engagement,x-audience,packdraw,2134
RaiseGambles,X,1,1-High,engagement,x-audience,packdraw,2048
Wholashile,X,1,1-High,engagement,x-audience,packdraw,1943
CadelAndri,X,1,1-High,engagement,x-audience,packdraw,1924
gsb,X,1,1-High,engagement,x-audience,packdraw,1901
BotNooah,X,1,1-High,engagement,x-audience,packdraw,1897
Fortwnty_,X,1,1-High,engagement,x-audience,packdraw,1887
Willlyy11,X,1,1-High,engagement,x-audience,packdraw,1871
anthGGs,X,1,1-High,engagement,x-audience,packdraw,1839
riumaxyz,X,1,1-High,engagement,x-audience,packdraw,1821
HaxerUwU,X,1,1-High,engagement,x-audience,packdraw,1794
the_beloved1_,X,1,1-High,engagement,x-audience,packdraw,1783
Uche_nax,X,1,1-High,engagement,x-audience,packdraw,1705
Adil_27,X,1,1-High,engagement,x-audience,packdraw,1590
stupendous_side,X,1,1-High,engagement,x-audience,packdraw,1557
yuteiko,X,1,1-High,engagement,x-audience,packdraw,1544
snipe_rga,X,1,1-High,engagement,x-audience,packdraw,1529
Chicosci191,X,1,1-High,engagement,x-audience,packdraw,1485
iniDeevaa,X,1,1-High,engagement,x-audience,packdraw,1476
biggest_joe001,X,1,1-High,engagement,x-audience,packdraw,1454
PTrembalarp,X,1,1-High,engagement,x-audience,packdraw,1396
byaislin,X,1,1-High,engagement,x-audience,packdraw,1285
BlessedPanalo,X,1,1-High,engagement,x-audience,packdraw,1241
metadegen07,X,1,1-High,engagement,x-audience,packdraw,1238
ROBINHOOD032786,X,1,1-High,engagement,x-audience,packdraw,1237
AliaxxVesper,X,1,1-High,engagement,x-audience,packdraw,1189
vitameii,X,1,1-High,engagement,x-audience,packdraw,1176
radiationworker,X,1,1-High,engagement,x-audience,packdraw,1176
Nobrainer_xx,X,1,1-High,engagement,x-audience,packdraw,1096
itrue98,X,1,1-High,engagement,x-audience,packdraw,1076
AryossLr1,X,1,1-High,engagement,x-audience,packdraw,1015
honey_bee_me_,X,1,1-High,engagement,x-audience,packdraw,1012
BuldogonX,X,1,1-High,engagement,x-audience,packdraw,1005
karmkarteja2,X,1,1-High,engagement,x-audience,packdraw,1002
JoyfulWeb3,X,1,1-High,engagement,x-audience,packdraw,987
bbbshineee,X,1,1-High,engagement,x-audience,packdraw,985
solXwin,X,1,1-High,engagement,x-audience,packdraw,984
yennirojas132,X,1,1-High,engagement,x-audience,packdraw,932
Regzor4,X,1,1-High,engagement,x-audience,packdraw,831
Simeonguru2,X,1,1-High,engagement,x-audience,packdraw,780
Iremide6499,X,1,1-High,engagement,x-audience,packdraw,731
Eiraw1n,X,1,1-High,engagement,x-audience,packdraw,724
raistarcky,X,1,1-High,engagement,x-audience,packdraw,723
Buena1E,X,1,1-High,engagement,x-audience,packdraw,709
clasiffyy,X,1,1-High,engagement,x-audience,packdraw,663
MogiwaraD,X,1,1-High,engagement,x-audience,packdraw,662
minlorva,X,1,1-High,engagement,x-audience,packdraw,637
Kingnathansz,X,1,1-High,engagement,x-audience,packdraw,627
faizmalansori,X,1,1-High,engagement,x-audience,packdraw,613
XEALUM51,X,1,1-High,engagement,x-audience,packdraw,606
ccecefya,X,1,1-High,engagement,x-audience,packdraw,605
IMMDefi,X,1,1-High,engagement,x-audience,packdraw,567
Leohans25,X,1,1-High,engagement,x-audience,packdraw,558
0xDopdop,X,1,1-High,engagement,x-audience,packdraw,542
isthatgato,X,1,1-High,engagement,x-audience,packdraw,541
Mimina_ETH,X,1,1-High,engagement,x-audience,packdraw,540
Cryptspice_,X,1,1-High,engagement,x-audience,packdraw,538
dynamikyoutube,X,1,1-High,engagement,x-audience,packdraw,528
mr_death_cs,X,1,1-High,engagement,x-audience,packdraw,524
cdentury,X,1,1-High,engagement,x-audience,packdraw,510
chabag19,X,1,1-High,engagement,x-audience,packdraw,505
DEGETRADERWEB3,X,1,1-High,engagement,x-audience,packdraw,463
ynahinna,X,1,1-High,engagement,x-audience,packdraw,456
flexi7_,X,1,1-High,engagement,x-audience,packdraw,442
etherYami,X,1,1-High,engagement,x-audience,packdraw,427
Asilai7,X,1,1-High,engagement,x-audience,packdraw,425
Johnny_SOL1,X,1,1-High,engagement,x-audience,packdraw,420
pchaengy,X,1,1-High,engagement,x-audience,packdraw,414
richboyzada,X,1,1-High,engagement,x-audience,packdraw,390
finorakiyang,X,1,1-High,engagement,x-audience,packdraw,366
blauwbble,X,1,1-High,engagement,x-audience,packdraw,357
KunmiNft,X,1,1-High,engagement,x-audience,packdraw,340
web3x_soyib,X,1,1-High,engagement,x-audience,packdraw,337
LESANA777,X,1,1-High,engagement,x-audience,packdraw,310
_0xminmin1395,X,1,1-High,engagement,x-audience,packdraw,303
iiVRTX,X,1,1-High,engagement,x-audience,packdraw,296
cryptolies_zx,X,1,1-High,engagement,x-audience,packdraw,295
silva_boar,X,1,1-High,engagement,x-audience,packdraw,285
CatsGang_SA,X,1,1-High,engagement,x-audience,packdraw,275
KittyStrikeUwU,X,1,1-High,engagement,x-audience,packdraw,273
ItsTheJedi,X,1,1-High,engagement,x-audience,packdraw,273
HaroldAlmen1989,X,1,1-High,engagement,x-audience,packdraw,266
67_LoveSoL,X,1,1-High,engagement,x-audience,packdraw,252
Pk96789,X,1,1-High,engagement,x-audience,packdraw,240
Niskala80,X,1,1-High,engagement,x-audience,packdraw,234
BillvBets,X,1,1-High,engagement,x-audience,packdraw,233
ashcity0x,X,1,1-High,engagement,x-audience,packdraw,224
ryusolinc,X,1,1-High,engagement,x-audience,packdraw,223
AmulbabySettai,X,1,1-High,engagement,x-audience,packdraw,222
_slide4koba,X,1,1-High,engagement,x-audience,packdraw,218
nabi7win,X,1,1-High,engagement,x-audience,packdraw,217
_Grinderist_,X,1,1-High,engagement,x-audience,packdraw,206
lvnabii,X,1,1-High,engagement,x-audience,packdraw,196
aynrahsy,X,1,1-High,engagement,x-audience,packdraw,195
josancene,X,1,1-High,engagement,x-audience,packdraw,195
Alirrezaam,X,1,1-High,engagement,x-audience,packdraw,184
Rick_S0012,X,1,1-High,engagement,x-audience,packdraw,182
NelsonJoel7220,X,1,1-High,engagement,x-audience,packdraw,181
Nclove23,X,1,1-High,engagement,x-audience,packdraw,174
lorrah2323,X,1,1-High,engagement,x-audience,packdraw,171
Surah_Fatiha,X,1,1-High,engagement,x-audience,packdraw,167
W_3_DIA,X,1,1-High,engagement,x-audience,packdraw,161
DaniloBambaoX,X,1,1-High,engagement,x-audience,packdraw,158
tuyulsol,X,1,1-High,engagement,x-audience,packdraw,146
NakanoKisaki,X,1,1-High,engagement,x-audience,packdraw,113
Ndoinue,X,1,1-High,engagement,x-audience,packdraw,102
Pineapplexp35,X,1,1-High,engagement,x-audience,packdraw,98
visiblekairo,X,1,1-High,engagement,x-audience,packdraw,98
herdailywins17,X,1,1-High,engagement,x-audience,packdraw,95
Maal1bu,X,1,1-High,engagement,x-audience,packdraw,94
HayJay_web3,X,1,1-High,engagement,x-audience,packdraw,93
Ardyjustiin,X,1,1-High,engagement,x-audience,packdraw,82
