username,fullName,niches,hashtags_found,posts,avg_engagement,profile_url,example_post,likely_brand_acct
quickselltcg,QuickSellTCG,pokemon,pokemoncardshop,2,14,https://www.instagram.com/quickselltcg/,https://www.instagram.com/p/Da0xsvumTGx/,
pokietoria,Victoria,pokemon,pokemoncardshop,2,75,https://www.instagram.com/pokietoria/,https://www.instagram.com/p/Dap3eIriMPX/,
john.thegentleman,,watch,watchesofinstagram|watchfam,2,-1,https://www.instagram.com/john.thegentleman/,https://www.instagram.com/p/Da_d8P5IBjE/,
_timeontarget_,Time on Target,watch,watchesofinstagram|watchfam,2,8,https://www.instagram.com/_timeontarget_/,https://www.instagram.com/p/Da_XHZZCWyU/,
theactivewrist,The Active Wrist,watch,watchesofinstagram|watchfam,2,5,https://www.instagram.com/theactivewrist/,https://www.instagram.com/p/Da_L7mzMqS0/,
igamingwire,iGaming Wire App,gambling,gambling,2,0,https://www.instagram.com/igamingwire/,https://www.instagram.com/p/Da-9cX4oEe_/,
sugarcitysportscards,Sugar City Sports Cards,brand,mysterypacks,2,11,https://www.instagram.com/sugarcitysportscards/,https://www.instagram.com/p/DauCL0MDaoC/,
bindysnails,Bindy's Nails,brand,mysterypacks,2,2,https://www.instagram.com/bindysnails/,https://www.instagram.com/p/DamG5MSvSc_/,
vanityslabs,Vanity Slabs Inc,brand,mysterypack|mysterypacks,2,0,https://www.instagram.com/vanityslabs/,https://www.instagram.com/p/Daf-Y0Wl--y/,
luckyrips.pm,LuckyRips,brand,mysterypacks,2,29,https://www.instagram.com/luckyrips.pm/,https://www.instagram.com/p/DaaX9ZJO8Ic/,
dnkvault,D&K Vault,brand,mysterypacks,2,22,https://www.instagram.com/dnkvault/,https://www.instagram.com/p/DaSTPYZCB5O/,
thread_rips,Thread Rips,brand,mysterypacks,2,10,https://www.instagram.com/thread_rips/,https://www.instagram.com/p/DaQvCZeSUnX/,
pokehunter456,pokehunter,pokemon,pokemoncommunity|tcgcommunity,2,0,https://www.instagram.com/pokehunter456/,https://www.instagram.com/p/Da_gwlViML3/,
ttyranitar.sales,Main is @ttyranitar,pokemon,pokemonclaimsale,2,10,https://www.instagram.com/ttyranitar.sales/,https://www.instagram.com/p/DawYg2dMShe/,
dragonairica,Pokemon Card Store,pokemon,pokemonclaimsale,2,1168,https://www.instagram.com/dragonairica/,https://www.instagram.com/p/DawTbUmEfla/,
khan_omar_cairo,EGYPT,watch,luxurywatch|watches,2,2,https://www.instagram.com/khan_omar_cairo/,https://www.instagram.com/p/Da_hPHzFQ94/,
pawnprocny,Pawn Pro,brand,mysterypack,2,2,https://www.instagram.com/pawnprocny/,https://www.instagram.com/p/Da57RJDiUWz/,
big_sky_breaks,Big Sky Breaks | Card Breaks,pokemon,cardbreaks,2,0,https://www.instagram.com/big_sky_breaks/,https://www.instagram.com/p/Da_YjNqvAjS/,
card_lines,Cardlines,pokemon,cardbreaks,2,0,https://www.instagram.com/card_lines/,https://www.instagram.com/p/Da-9IYkIMSn/,
ap_cardsandcollectibles,A.P Cards and Collectibles,pokemon,cardbreaks,2,2,https://www.instagram.com/ap_cardsandcollectibles/,https://www.instagram.com/p/Da9eTPsDnte/,
vibesocialll,Exclusive events & parties,brand,stake,2,52,https://www.instagram.com/vibesocialll/,https://www.instagram.com/p/Da6JpTbPrWR/,
smilesandcries1,Smiles&Cries,gambling,gambling,2,6,https://www.instagram.com/smilesandcries1/,https://www.instagram.com/p/Da-WYzfETde/,
tinyangie18,𝐀𝐧𝐠𝐢𝐞🖤 (hiatus ),brand,mysterypack,2,1,https://www.instagram.com/tinyangie18/,https://www.instagram.com/p/Da2mFocMB9X/,
casino.rank.official,CasinoRank – Your Ultimate Online Casino Guide! 🌟,gambling,onlinecasino,2,0,https://www.instagram.com/casino.rank.official/,https://www.instagram.com/p/Da7NTGml2a8/,
owni1_,Oswaldo Cardenas,gambling,casino,2,4,https://www.instagram.com/owni1_/,https://www.instagram.com/p/Da_NNKXoECR/,
anstrader098,AnsTrader,gambling,onlinecasino,1,0,https://www.instagram.com/anstrader098/,https://www.instagram.com/p/Da-esinEgip/,
ninjagamingglobal,Ninja Gaming,gambling,onlinecasino,1,0,https://www.instagram.com/ninjagamingglobal/,https://www.instagram.com/p/Da-PTc2jcQE/,
sirwincryptocasino,SirWin Crypto Casino & Betting,gambling,cryptocasino,1,0,https://www.instagram.com/sirwincryptocasino/,https://www.instagram.com/p/Da-BAeKI0Hv/,
footballholics_cy,footballholicscy,gambling,bettingtips,1,-1,https://www.instagram.com/footballholics_cy/,https://www.instagram.com/p/Da_gfBYs-AR/,
elchamo_sports,elchamo_sports,gambling,bettingtips,1,4,https://www.instagram.com/elchamo_sports/,https://www.instagram.com/p/Da_MmVQK7Pt/,
m.b.fa1,M.B.F.A. 🏦✍️🖨️🎰,brand,roobet,1,1,https://www.instagram.com/m.b.fa1/,https://www.instagram.com/p/Danr0llufO7/,
muhammadanas007x,Muhammad Anas,brand,roobet,1,6,https://www.instagram.com/muhammadanas007x/,https://www.instagram.com/p/DaYwpXtoqC1/,
clippers_198,Whop.ugc,brand,roobet,1,1,https://www.instagram.com/clippers_198/,https://www.instagram.com/p/DaM7TR2BOug/,
