username,platform,comments_on_competitors,posts_engaged,source,profile
pjtheheathen,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pjtheheathen/
vamptaa,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/vamptaa/
revanmoner,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/revanmoner/
marinaanellie,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/marinaanellie/
la.rubia.canela,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/la.rubia.canela/
pawel_strelzow,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pawel_strelzow/
jopichhedy,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jopichhedy/
ludwiiiig_henck,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ludwiiiig_henck/
ronja5ivoigt,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ronja5ivoigt/
caaaaspar80,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/caaaaspar80/
_monapalmer,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_monapalmer/
irene__kranzrn,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/irene__kranzrn/
sarahhhedmar,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/sarahhhedmar/
_aldridge_anthony,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_aldridge_anthony/
kirby_.chanelle,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/kirby_.chanelle/
7voidfemme7,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/7voidfemme7/
kikaornelas,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/kikaornelas/
llllliei,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/llllliei/
thirdeye_ni,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/thirdeye_ni/
r.lageen05,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/r.lageen05/
aquaboogiebabe,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/aquaboogiebabe/
janacleveland9,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/janacleveland9/
sloppy_goblin_girl,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/sloppy_goblin_girl/
thewitchcirclewithmayzara_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/thewitchcirclewithmayzara_/
pattitru,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pattitru/
vampmara__,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/vampmara__/
guendybabythis,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/guendybabythis/
poppiseedmarket,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/poppiseedmarket/
staceygentry1,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/staceygentry1/
ianmkimbrough,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ianmkimbrough/
cimbo1989,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/cimbo1989/
gabe.crow.58,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/gabe.crow.58/
andrey.boukhantsov,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/andrey.boukhantsov/
sushyglowcosmetics,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/sushyglowcosmetics/
geeelloooow,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/geeelloooow/
caityjuju,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/caityjuju/
jimothy_gilgamesh,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jimothy_gilgamesh/
maryehanlon,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/maryehanlon/
foresttgall,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/foresttgall/
instajoe543,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/instajoe543/
babe1oh3,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/babe1oh3/
jamesb.u.d,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jamesb.u.d/
whirlybirdrec,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/whirlybirdrec/
b_michaelis_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/b_michaelis_/
maxwellhousefarms,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/maxwellhousefarms/
pamelamadiganart,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pamelamadiganart/
jellycowgirl,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jellycowgirl/
the.piney.apple,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/the.piney.apple/
caitruby,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/caitruby/
_wafflesandpussay,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_wafflesandpussay/
batty_vazquez,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/batty_vazquez/
inbeautyescape,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/inbeautyescape/
dominika_wezowicz,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/dominika_wezowicz/
superfluidskin,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/superfluidskin/
catporter.writer,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/catporter.writer/
marta_piotrowska_kowalczyk,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/marta_piotrowska_kowalczyk/
claudiaonelly,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/claudiaonelly/
kendracalvert,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/kendracalvert/
knifep4rty_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/knifep4rty_/
choupfil,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/choupfil/
danii.t__,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/danii.t__/
deborahs22,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/deborahs22/
justmycause,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/justmycause/
